,publishedAt,author,comment
177,2025-07-01T15:05:42Z,@CiasemCiasem-n7r,"Satu persatu kebusukan mulyono akan terbongkar,kebenaran akan menemukan jalannya."
178,2025-07-01T14:56:11Z,@nonowidi6409,Semoga semua terbuka
179,2025-07-01T14:51:07Z,@AndrikaMuthiara-o7u,Seret JOKOWI ADILI ada yang BERANI gak ya 😂
180,2025-07-01T14:47:27Z,@kharismaprawiranagara,"Alhamdulillah, akhirnya sepinter pinternya menutupi bangkai akhirnya tercium juga.."
181,2025-07-01T14:43:15Z,@mnanasupriatna9723,Ayuk siapa lagi..pak tom sudah bilang printah pak Jokowi nanti kasusnya pak Nadiem Makarim bilang juga perintah pak presiden Jokowi juga ga nih
182,2025-07-01T14:42:00Z,@BariBari-m7h,"Seret Jokowi.
Jangan "" kasus KM 50 juga  terkait nihhh"
183,2025-07-01T14:41:58Z,@senju2004,Mudahan Gibran jadi di pecat
184,2025-07-01T14:41:03Z,@senju2004,Semua gegara Jokowi
185,2025-07-01T14:40:46Z,@BariBari-m7h,"Lagu"" Jokowi...haduh biang kerok negara"
186,2025-07-01T14:38:25Z,@peacheni0227,Maju terus pak Lembong bongkar saja!!!??!
187,2025-07-01T14:37:58Z,@budiyanto36,apakah pengadilam sanggup panggil pk jokowi?
188,2025-07-01T14:37:24Z,@ayisalasa,Usut tuntas
189,2025-07-01T14:37:18Z,@JW_Pesta,Jokodok mmg sumber perusak
